b_impact_score,certified_since,description,location,name,rating1,rating2,rating3,rating4,rating5,rating6,rating7,sector,tagline,url,website
85.3,"September, 2019","Richman Law Group (RLG) is a collective of lawyers and advocates specializing in socially conscious impact litigation and was founded on the idea that what cannot be achieved by way of legislation can sometimes be achieved by way of litigation.
The firm focuses on public-interest class actions, non-profit representation, and civil rights litigation. 
They dedicate themselves to serving the greater good by holding large corporations accountable for actions that can harm the public, our food system, and the environment. The driving force behind their public-interest practice is creating innovative and effective ways to influence public policy and the marketplace. Much of the work Richman Law Group does aims to rectify the inadequacies in the current regulatory environment that negatively impact public health, transparency and safety in the food system, animal welfare, and corporate marketing and labeling practices. They work closely with consumers and leading non-profit organizations.","New York, New York, United States",Richman Law Group,Governance 9.8;Mission & Engagement 2.6;Corporate Accountability 1.1;Transparency 3.5;+ Mission Locked 2.5;,Workers 24.7;Compensation & Wages 11.3;Benefits 4.2;Training & Education 2.4;Worker Ownership 2.6;Management & Worker Communication 4.1;,"Community 33.7;Job Creation 1.2;Diversity & Inclusion 1.4;Civic Engagement & Giving 10.8;Local Involvement 4.6;Suppliers, Distributors & Product 3.0;+ Designed to Give 12.6;","Environment 5.2;Land, Office, Plant 3.0;Inputs 0.7;Outputs 1.1;N/A Points 0.2;","Customers 11.7;+ Support for Underserved/Purpose Driven Enterprises 5.2;+ Arts, Media, & Culture 6.5;+ Serving in Need Populations N/A;",,,Service with Minor Environmental Footprint,Legal services,https://bcorporation.net/directory/richman-law-group,http://richmanlawgroup.com
90.6,"September, 2019","Switch Engineering is a boutique engineering consultancy firm specializing in sustainable development. They engage in a full spectrum of consulting services involving Mechanical, Electrical, Structural and Civil Engineering, Project Management, Construction Administration, and Software Integration. Fundamental to their business is the balance between the environment, society, and finance in all of their projects and activities; also known as the three pillars of Sustainable Design. Switch Engineering works hard to develop alternative plans to lower the lifecycle costs of their products and solutions to reinforce sustainability in their work while providing you with the best value for your dollar.  	
Switch Engineering is a small, versatile firm with a customer-focused approach that represents their dedication to their clients.","Edmonton, Alberta, Canada",Switch Engineering,Governance 13.9;Mission & Engagement 3.3;Corporate Accountability 3.2;Transparency 4.8;+ Mission Locked 2.5;,Workers 32.9;Compensation & Wages 8.1;Benefits 11.6;Training & Education 3.2;Worker Ownership 2.6;Management & Worker Communication 5.3;N/A Points 1.8;,"Community 30.3;Job Creation 1.2;Diversity & Inclusion 7.1;Civic Engagement & Giving 7.9;Local Involvement 10.8;Suppliers, Distributors & Product 2.0;N/A Points 1.1;","Environment 7.8;Land, Office, Plant 5.1;Inputs 1.2;Outputs 1.5;",Customers 5.5;+ Support for Underserved/Purpose Driven Enterprises 5.5;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,Engineering Consulting; Software Integration,https://bcorporation.net/directory/switch-engineering,http://switch-engineering.ca
90.0,"September, 2019","Alpine Investors is a people-driven private equity firm that focuses on software and services. They believe that inspiring growth in people is the best way to build enduring businesses. That’s why their PeopleFirst™ philosophy guides everything they do. Alpine Investors works with, learns from, and develops exceptional people, to create a virtuous cycle of financial and operational wins that, in turn, contribute to greater personal fulfillment. Looking for a fulfilling career that unleashes your potential? Visit their careers page at ","San Francisco, California, United States",Alpine Investors,Governance 8.7;Mission & Engagement 1.9;Ethics & Transparency 4.2;+ Mission Locked 2.5;,"Workers 36.9;Financial Security 11.6;Health, Wellness, & Safety 9.8;Career Development 6.5;Engagement & Satisfaction 8.2;N/A Points 0.6;","Community 19.8;Diversity, Equity, & Inclusion 7.1;Economic Impact 6.5;Civic Engagement & Giving 3.5;Supply Chain Management 0.0;N/A Points 2.5;",Environment 5.6;Environmental Management 2.3;Air & Climate 0.9;Water 0.3;Land & Life 2.0;,Customers 18.9;Customer Stewardship 2.4;+ Mission Lock N/A;+ Past Performance 0.2;+ Current Fund N/A;+ Positive Impact 6.2;+ Portfolio Reporting 2.6;+ Capacity Building 4.8;+ Fund Governance 2.2;N/A Points 0.3;,,,Service with Minor Environmental Footprint,Investment Advisory Firm,https://bcorporation.net/directory/alpine-investors,http://www.alpineinvestors.com
82.6,"September, 2019","Except works with front-running partners to realize breakthrough sustainable projects for cities, buildings, companies, and industry. Except drives systemic long term change with vision and passion, and activates this with integrated strategy, research, design, business modeling, and project management, supported by intense co-creation methods.
Except's 600 projects worldwide are a testimony of the success of applied systems thinking. Its clients and partners span society's most vital resources, including cities, food systems, industry, financial services, infrastructure, and policy.
Except's teams combine science, design, and business management to achieve groundbreaking projects that work, using collaboration and co-creation. This way Except works on the transition towards a sustainable future since 1999.","Utrecht, Utrecht, Netherlands",Except Integrated Sustainability,Governance 8.4;Mission & Engagement 3.3;Ethics & Transparency 2.6;+ Mission Locked 2.5;,"Workers 21.4;Financial Security 4.5;Health, Wellness, & Safety 6.1;Career Development 3.8;Engagement & Satisfaction 4.0;N/A Points 2.9;","Community 22.2;Diversity, Equity, & Inclusion 3.6;Economic Impact 12.5;Civic Engagement & Giving 2.4;Supply Chain Management 0.7;N/A Points 2.9;",Environment 8.0;Environmental Management 3.7;Air & Climate 0.9;Water 0.3;Land & Life 3.0;,Customers 22.3;Customer Stewardship 1.6;+ Impact Improvement 20.3;+ Serving in Need Populations 0.3;,,,Service with Minor Environmental Footprint,"Sustainability consulting for organizations, cities, buildings, and industries.",https://bcorporation.net/directory/except-integrated-sustainability,http://www.except.nl
81.7,"September, 2019","Combining style, design and technology since it was founded in 2012, Frank And Oak offers collections of clothing and accessories for men and women that are thoughtfully designed and well suited to the lifestyles of its customers. Present on the web and in 22 boutiques across Canada, the brand provides a personalized online experience to hundreds of thousands of members, surpassing its role as a retailer to reinvent the customer experience. Inspired by ethical thinking and with an eye to the future, Frank And Oak upholds the values of equity, diversity, and inclusion and works to promote them in its communities.","Montreal, Québec, Canada",Frank And Oak,Governance 15.6;Mission & Engagement 2.2;Corporate Accountability 1.2;Ethics 1.2;Transparency 3.4;+ Mission Locked 7.5;,Workers 24.1;Compensation & Wages 4.0;Benefits 10.3;Training & Education 1.8;Worker Ownership 1.7;Management & Worker Communication 1.8;Job Flexibility/Corporate Culture 2.4;Occupational Health & Safety 1.0;N/A Points 0.9;,"Community 25.7;Job Creation 3.4;Diversity & Inclusion 4.6;Civic Engagement & Giving 5.2;Local Involvement 5.5;Suppliers, Distributors & Product 6.8;","Environment 16.2;Land, Office, Plant 3.8;Inputs 1.4;Outputs 1.1;Transportation, Distribution & Suppliers 6.9;+ Toxin Reduction / Remediation 2.7;",,,,Wholesale/Retail,Fashion and lifestyle brand,https://bcorporation.net/directory/frank-and-oak,http://www.frankandoak.com
94.1,"August, 2019","Nico is a neighborhood investment company that makes it possible for people who love their neighborhood to build a long-term financial stake in their community. As the world’s first real estate investment trust focused on neighborhoods, Nico’s mission is to democratize wealth creation within local communities.
As more people stand to earn a share of the wealth created within their neighborhood, Nico sees an opportunity to bolster local economies, to strengthen the social fabric of communities, and to improve the financial well-being of people who have been historically excluded from the benefits of traditional homeownership.","Los Angeles, California, United States",NICO,Governance 9.3;Mission & Engagement 1.9;Corporate Accountability 2.8;Transparency 2.0;+ Mission Locked 2.5;,Workers 19.8;Compensation & Wages 2.7;Benefits 7.9;Training & Education 0.0;Worker Ownership 3.0;Management & Worker Communication 5.0;N/A Points 1.1;,"Community 19.3;Job Creation 2.7;Diversity & Inclusion 2.0;Civic Engagement & Giving 3.0;Local Involvement 4.5;Suppliers, Distributors & Product 6.3;N/A Points 0.6;","Environment 45.6;Land, Office, Plant 5.9;Inputs 3.6;Outputs 4.6;Transportation, Distribution & Suppliers 10.0;+ Training & Collaboration 2.0;+ Community 15.4;+ Certification N/A;+ Material & Energy Use 2.4;N/A Points 1.6;",,,,Service with Significant Environmental Footprint,Nico enables people to invest in local real estate though a Neighborhood REIT.,https://bcorporation.net/directory/nico,http://mynico.com
87.9,"August, 2019","CoPeace is a first-of-its-kind holding company, building a portfolio of carefully screened for-profit companies whose mission is having measurable social and/or environmental impact. CoPeace provides an affordable, and direct, investment option, prioritizing long-term impact, while not surrendering competitive financial returns. As a holding company, they utilize investor capital to purchase controlling interest in complementary, purpose-driven holdings. 
Another feature is that investing in CoPeace is available to everyone, not just the wealthy.  Their unique investment approach creates a path for nearly anyone to participate in impact investing, including communities often overlooked in traditional investing.
There is a common misconception that profits and positive impact are mutually exclusive. The

current global capitalism structure prioritizes profits over people and planet. CoPeace is offering a

different option, one in which the environment and society are on equal footing with profits. As such,

they believe they can help change capitalism and the world for the better.
With CoPeace, you can ""Grow Your Money for Good!""","Highlands Ranch, Colorado, United States",CoPeace,Governance 18.1;Mission & Engagement 3.2;Ethics & Transparency 4.9;+ Mission Locked 10.0;,"Workers 19.4;Financial Security 10.3;Health, Wellness, & Safety 0.0;Career Development 4.4;Engagement & Satisfaction 4.3;N/A Points 0.3;","Community 28.7;Diversity, Equity, & Inclusion 8.0;Economic Impact 9.2;Civic Engagement & Giving 5.1;Supply Chain Management 2.8;N/A Points 3.4;",Environment 5.1;Environmental Management 1.4;Air & Climate 0.3;Water 0.0;Land & Life 1.0;N/A Points 2.4;,Customers 16.4;Customer Stewardship 1.9;+ Mission Lock N/A;+ Past Performance N/A;+ Current Fund 5.5;+ Positive Impact 2.3;+ Portfolio Reporting 3.5;+ Capacity Building N/A;+ Fund Governance 2.2;N/A Points 0.9;,,,Service with Minor Environmental Footprint,Impact Investing,https://bcorporation.net/directory/co-peace,http://copeace.com
88.0,"August, 2019","Reinventing care so that older generations can age safely in their own homes.

They want our loved ones to age confidently at home, surrounded by their communities and with the best quality of care available. Together with their care partners, they are on a mission to reinvent care at home.","London, London, United Kingdom",BIRDIE CARE SERVICES LIMITED,Governance 8.4;Mission & Engagement 1.2;Ethics & Transparency 4.7;+ Mission Locked 2.5;,"Workers 31.3;Financial Security 7.6;Health, Wellness, & Safety 7.8;Career Development 4.1;Engagement & Satisfaction 6.3;N/A Points 5.4;","Community 15.6;Diversity, Equity, & Inclusion 1.5;Economic Impact 5.6;Civic Engagement & Giving 5.1;Supply Chain Management 1.0;N/A Points 2.3;",Environment 4.4;Environmental Management 1.6;Air & Climate 0.4;Water 0.0;Land & Life 2.0;N/A Points 0.3;,Customers 28.0;Customer Stewardship 3.3;+ Health & Wellness Improvement 10.6;+ Serving in Need Populations 14.1;,,,Service with Minor Environmental Footprint,home care software,https://bcorporation.net/directory/birdie-care-services-limited,http://birdie.care
84.9,"August, 2019","Norden Project creates stylish and functional performance outerwear from recycled plastic.
Norden was established in 2018, to fill a void in the fashion industry: high-quality outerwear that’s affordable, ethically produced and sustainable. They are committed to creating better products by putting practices in place that are better for both the planet and its future inhabitants.
They partner with some of the most innovative companies in the world to source fabrics. Every aspect of their manufacturing process is transparent and traceable. They’re not only repurposing what the world has too much of – plastic waste – their vegan jackets are entirely free of animal by-products.
They're dedicated to proving that sustainable fashion doesn’t have to compromise style or functionality.","Montreal, Québec, Canada",Better Narrative Inc,Governance 7.1;Mission & Engagement 2.4;Ethics & Transparency 2.2;+ Mission Locked 2.5;,"Workers 25.9;Financial Security 8.9;Health, Wellness, & Safety 5.8;Career Development 4.7;Engagement & Satisfaction 2.8;N/A Points 3.6;","Community 18.8;Diversity, Equity, & Inclusion 5.9;Economic Impact 4.7;Civic Engagement & Giving 2.5;Supply Chain Management 2.8;N/A Points 2.7;",Environment 29.7;Environmental Management 3.3;Air & Climate 3.4;Water 0.7;Land & Life 10.9;+ Resource Conservation 11.3;,Customers 3.2;Customer Stewardship 3.2;,,,Wholesale/Retail,Norden Project,https://bcorporation.net/directory/better-narrative-inc,http://www.nordenproject.com
80.4,"August, 2019","WE DO GOOD develops a royalty based finance to answer to the main environmental, social and economical stakes we face today.

Through a transparent and balanced funding model, WE DO GOOD democratises access to impact investing: anyone can become an investor in positive projects starting from 10 €.","Nantes, Pays de la Loire, France",WE DO GOOD,Governance 13.0;Mission & Engagement 2.4;Corporate Accountability 2.3;Transparency 5.6;+ Mission Locked 2.5;,Workers 23.4;Compensation & Wages 2.8;Benefits 10.0;Training & Education 0.6;Worker Ownership 2.0;Management & Worker Communication 4.9;N/A Points 2.9;,"Community 17.2;Job Creation 1.2;Diversity & Inclusion 5.7;Civic Engagement & Giving 5.1;Local Involvement 4.6;Suppliers, Distributors & Product 0.5;","Environment 8.5;Land, Office, Plant 5.6;Inputs 1.4;Outputs 1.4;",Customers 18.1;+ Support for Underserved/Purpose Driven Enterprises 15.2;+ Serving in Need Populations 2.8;,,,Service with Minor Environmental Footprint,Royalty based crowdfunding platform.,https://bcorporation.net/directory/we-do-good,http://www.wedogood.co
81.3,"August, 2019",People with Purpose is a purpose-led consulting company that specialises in equipping businesses and leaders to become more resilient and impactful. They do this by helping them develop purpose-led strategies and purposeful leadership.,"Taringa, Queensland, Australia",People With Purpose,Governance 5.8;Mission & Engagement 0.3;Corporate Accountability 0.0;Transparency 3.0;+ Mission Locked 2.5;,Workers 33.5;Compensation & Wages 8.8;Benefits 10.5;Training & Education 2.1;Worker Ownership 2.6;Management & Worker Communication 8.2;N/A Points 1.1;,"Community 27.3;Job Creation 2.4;Diversity & Inclusion 6.4;Civic Engagement & Giving 6.0;Local Involvement 9.3;Suppliers, Distributors & Product 2.0;N/A Points 1.0;","Environment 8.6;Land, Office, Plant 3.8;Inputs 2.7;Outputs 1.1;N/A Points 0.9;",Customers 5.9;+ Support for Underserved/Purpose Driven Enterprises 4.1;+ Serving in Need Populations 1.7;,,,Service with Minor Environmental Footprint,Purpose-led strategy and purposeful leadership development consultancy,https://bcorporation.net/directory/people-with-purpose,http://peoplewithpurpose.com
84.3,"August, 2019","Seven Sundays crafts modern muesli mixes that your body and taste buds will crave everyday. Their mission comes before the pursuit of profits and they strive to deliver products that have maximum nutritional value and minimal environmental impact. For them, that means sourcing plant-based, non-GMO, gluten-free and nutrient dense ingredients as close to home as possible. Seven Sundays are also working to support family farms through by growing the demand for small grains here in the Midwest.","Minneapolis, Minnesota, United States",Seven Sundays,Governance 14.5;Mission & Engagement 1.9;Ethics & Transparency 2.6;+ Mission Locked 10.0;,"Workers 24.5;Financial Security 10.7;Health, Wellness, & Safety 4.7;Career Development 3.1;Engagement & Satisfaction 5.8;","Community 19.6;Diversity, Equity, & Inclusion 4.6;Economic Impact 4.4;Civic Engagement & Giving 2.9;Supply Chain Management 4.6;N/A Points 2.9;",Environment 22.7;Environmental Management 5.7;Air & Climate 3.7;Water 2.0;Land & Life 4.5;+ Toxin Reduction / Remediation 6.6;,Customers 2.8;Customer Stewardship 2.8;+ Serving in Need Populations N/A;,,,Wholesale/Retail,"Gluten Free, Non-GMO and Organic Muesli Cereals",https://bcorporation.net/directory/seven-sundays,http://www.sevensundays.com
80.5,"August, 2019","EVAN360 is a revolutionary SaaS platform that allows teams to instantly connect with qualified support to solve problems the right way the first time. EVAN360 prevents urgent or pervasive problems from getting lost in help desk ticketing systems. Instead, employees can simply log in to EVAN360, request help, and connect to an expert within minutes.","Houston, Texas, United States",EVAN360,Governance 20.7;Mission & Engagement 3.9;Ethics & Transparency 6.7;+ Mission Locked 10.0;,"Workers 27.0;Financial Security 10.3;Health, Wellness, & Safety 7.7;Career Development 3.5;Engagement & Satisfaction 4.6;N/A Points 0.8;","Community 24.1;Diversity, Equity, & Inclusion 5.0;Economic Impact 8.5;Civic Engagement & Giving 5.7;Supply Chain Management 4.7;",Environment 3.6;Environmental Management 0.0;Air & Climate 0.8;Water 0.0;Land & Life 2.2;N/A Points 0.5;,Customers 5.0;Customer Stewardship 5.0;,,,Service with Minor Environmental Footprint,Enterprise service management and customer support SaaS solution,https://bcorporation.net/directory/evan360-llc,http://www.evan360.com
85.4,"August, 2019","Drizzle Honey is adding excitement to an age-old industry with first to market raw and superfood honey flavors, bee-friendly sustainability initiatives, and trending branding and social media. Their mission is to change the way the world uses honey by continuing to be the leader in innovative, sustainable and health-conscious honey products. They are a proudly women owned and run enterprise.","Calgary, Alberta, Canada",Drizzle Honey,Governance 15.5;Mission & Engagement 3.0;Ethics & Transparency 2.5;+ Mission Locked 10.0;,"Workers 26.2;Financial Security 8.6;Health, Wellness, & Safety 4.1;Career Development 3.9;Engagement & Satisfaction 5.1;N/A Points 4.1;","Community 19.2;Diversity, Equity, & Inclusion 5.2;Economic Impact 3.7;Civic Engagement & Giving 3.1;Supply Chain Management 3.6;N/A Points 3.3;",Environment 20.5;Environmental Management 6.1;Air & Climate 6.5;Water 1.1;Land & Life 5.9;N/A Points 0.6;,Customers 3.9;Customer Stewardship 3.9;,,,Wholesale/Retail,Honey Products,https://bcorporation.net/directory/drizzle-honey,http://drizzlehoney.com
83.2,"August, 2019","Pulse Brands supports their clients to explore the role of purpose in engaging more effectively with their investors, employees, customers and society. They do this through their expertise in purposeful leadership, employee engagement and strategic communications.","London, London, United Kingdom",Pulse Brands,Governance 18.3;Mission & Engagement 3.9;Ethics & Transparency 4.4;+ Mission Locked 10.0;,"Workers 34.2;Financial Security 7.3;Health, Wellness, & Safety 10.0;Career Development 5.3;Engagement & Satisfaction 7.1;N/A Points 4.3;","Community 18.6;Diversity, Equity, & Inclusion 6.0;Economic Impact 5.7;Civic Engagement & Giving 3.5;Supply Chain Management 1.0;N/A Points 2.4;",Environment 8.4;Environmental Management 1.4;Air & Climate 1.3;Water 0.0;Land & Life 3.7;N/A Points 1.9;,Customers 3.4;Customer Stewardship 3.0;+ Support for Underserved/Purpose Driven Enterprises 0.4;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,"Leadership development, employee engagement, corporate communications",https://bcorporation.net/directory/pulse-brands-limited,http://www.pulsebrands.com
80.8,"August, 2019","TWIST SA is a creative communication agency with involvement in social responsibility and sustainable development. They work and promote social impact communication through support, coaching, and monitoring of the Sweet Rebels studio that integrates people with mental disabilities into its creative team. They are active in the field of strategy and communication plans, the creation and graphic design of any communication support off and on-line.
TWIST SA est une agence de communication créative avec une implication dans la responsabilité sociale et dans le développement durable. Nous œuvrons et favorisons une communication à impact social au travers du soutien, de l’encadrement et du monitoring du studio Sweet Rebels qui intègre des personnes en situation de handicap mental dans son équipe créative. Nous sommes actifs dans le domaine de la stratégie et plans de communication, la création et réalisation graphique de tout support de communication off et on-line.","Nyon, Vaud, Switzerland",TWIST SA,Governance 10.0;Mission & Engagement 2.0;Corporate Accountability 2.3;Transparency 3.2;+ Mission Locked 2.5;,Workers 19.1;Compensation & Wages 2.8;Benefits 11.2;Training & Education 1.1;Worker Ownership 2.0;Management & Worker Communication 0.7;N/A Points 1.0;,"Community 33.3;Job Creation 2.0;Diversity & Inclusion 3.5;Civic Engagement & Giving 6.9;Local Involvement 9.3;Suppliers, Distributors & Product 2.0;+ Local Economic Development 8.5;N/A Points 0.9;","Environment 4.0;Land, Office, Plant 2.1;Inputs 0.7;Outputs 1.2;",Customers 14.2;+ Support for Underserved/Purpose Driven Enterprises 8.8;+ Serving in Need Populations 5.3;,,,Service with Minor Environmental Footprint,"publicité, communication, graphisme, conseil en RSE",https://bcorporation.net/directory/twist-sa,http://www.twist-advertising.ch
89.4,"August, 2019","Through its long term commitment to combine economic success and social progress and in line with its One Planet.One Health vision that the health of the people and the health of the planet are interconnected, Danone aims to inspire healthier and more sustainable eating habits.
With its well-known brands Activia, Danio, Actimel, Oikos and Huttenkase, Danone is the fourth biggest player in the NL market. And they continue to innovate; in 2019 Danone brought a new brand on the Dutch market ‘’Light & Free’’ that contains 0% fat, 0% added sugar and 0% artificial sweeteners.
In the Netherlands, Danone seeks to help consumers understand the role the fresh dairy products can play in a balanced diet, offering tasty, versatile choices to meet consumer’s needs every day. To achieve this, Danone works collaboratively with their employees, their partners and suppliers, and their local communities.
 Their B Corp Certification is in line with their long-lasting commitment to economic success and social progress. They are proud to join the B Corp movement where the collective action across multiple industries can make the change that is best for the planet and the communities they live and work in.","Utrecht, Utrecht, Netherlands",Danone The Netherlands,Governance 16.3;Mission & Engagement 2.6;Corporate Accountability 1.3;Ethics 1.5;Transparency 3.2;+ Mission Locked 7.5;,Workers 27.5;Compensation & Wages 6.1;Benefits 11.1;Training & Education 1.0;Worker Ownership 3.0;Management & Worker Communication 2.0;Job Flexibility/Corporate Culture 2.1;Occupational Health & Safety 0.7;N/A Points 1.0;,"Community 21.7;Job Creation 1.6;Diversity & Inclusion 2.5;Civic Engagement & Giving 6.1;Local Involvement 1.6;Suppliers, Distributors & Product 9.1;N/A Points 0.6;","Environment 23.8;Land, Office, Plant 5.0;Inputs 5.6;Outputs 2.4;Transportation, Distribution & Suppliers 10.6;",,,,Wholesale/Retail,Essential Dairy and Plant-Based Products,https://bcorporation.net/directory/danone-the-netherlands,http://www.danone.nl
83.0,"August, 2019","Frutícola Olmué S.p.A participates in the agro-industrial process, processing, export and marketing of frozen fruits and asparagus, specifically blueberries, blackberries, raspberries, strawberries, cherries, among others.

Since 1993 it has been a leader in the Chilean industry and as of 2015 it is part of Sutil companies.

They are industry leaders and a benchmark in the process, quality and traceability of export fruit. They have four production plants located in Parral, Chillán, Chillán Viejo and Loncoche.
Frutícola Olmué S.p.A participa en el proceso agroindustrial, procesamiento, exportación y comercialización de frutas y espárragos congelados, específicamente arándanos, mora, frambuesa, frutilla, cerezas, entre otras.

Desde el año 1993 ha sido líder en la industria chilena y a partir del año 2015 es parte de empresas Sutil.

Somos líderes de la industría y un referente en el proceso, calidad y trazabilidad de la fruta de exportación. Poseemos cuatros plantas productivas ubicadas en Parral, Chillán, Chillán Viejo y Loncoche.","Chillan, Diguillín, Chile",FRUTICOLA OLMUE S.P.A.,Governance 13.9;Mission & Engagement 0.6;Corporate Accountability 1.5;Ethics 2.4;Transparency 1.8;+ Mission Locked 7.5;,Workers 14.1;Compensation & Wages 4.5;Benefits 5.4;Training & Education 0.6;Worker Ownership 0.0;Management & Worker Communication 0.2;Human Rights & Labor Policy 0.6;Occupational Health & Safety 2.3;N/A Points 0.2;,"Community 16.2;Job Creation 2.2;Diversity & Inclusion 1.7;Civic Engagement & Giving 0.6;Local Involvement 3.0;Suppliers, Distributors & Product 8.7;","Environment 38.8;Land, Office, Plant 3.3;Inputs 4.1;Outputs 5.0;Transportation, Distribution & Suppliers 4.3;+ Designed to Conserve Agriculture Process 18.0;+ Toxin Reduction / Remediation 3.9;",,,,Agriculture/Growers,Export of frozen fruits and vegetables.,https://bcorporation.net/directory/fruticola-olmue-spa,http://www.olmue.com
96.8,"August, 2019","The FruitGuys pioneered the fruit-at-work concept and has been on a mission to create a healthier workplace, support American farms, and combat hunger since its founding in 1998. Family owned and operated, The FruitGuys supports small farm sustainability and fights hunger nationwide by donating a minimum of 20% of annual profits through weekly produce donations from its facilities to organizations that serve the needy; and fostering environmental stewardship through annual grants to small farms via its non-profit The FruitGuys Community Fund.
The FruitGuys helps companies boost morale, improve retention, and increase productivity by providing unique fruit and produce and healthy, thoughtful snacks to their employees each week. The FruitGuys has regional locations across the U.S. and is dedicated to building local distribution networks and long-term relationships with small, independent farms and food producers. 
By providing the best produce and snacks available, The FruitGuys seeks to inspire a deeper awareness of a healthy environment and food system, a diverse economy, robust communities, and a strong democracy.","South San Francisco, California, United States",The FruitGuys,Governance 12.7;Mission & Engagement 1.6;Corporate Accountability 0.1;Ethics 1.2;Transparency 2.1;+ Mission Locked 7.5;,Workers 18.8;Compensation & Wages 4.5;Benefits 6.4;Training & Education 1.3;Worker Ownership 2.1;Management & Worker Communication 1.8;Job Flexibility/Corporate Culture 1.2;Occupational Health & Safety 1.2;,"Community 45.3;Job Creation 2.1;Diversity & Inclusion 3.6;Civic Engagement & Giving 8.2;Local Involvement 4.2;Suppliers, Distributors & Product 3.4;+ Designed to Give 23.5;","Environment 19.9;Land, Office, Plant 4.2;Inputs 3.3;Outputs 1.5;Transportation, Distribution & Suppliers 6.3;+ Toxin Reduction / Remediation 4.4;",,,,Wholesale/Retail,Fresh produce and snack delivery,https://bcorporation.net/directory/the-fruit-guys,http://www.fruitguys.com
83.6,"August, 2019",jiiWA's digital platform helps impact organizations learn more about their programs and people they serve through data.,"Toronto, Ontario, Canada",jiiWA,Governance 6.5;Mission & Engagement 2.4;Ethics & Transparency 1.6;+ Mission Locked 2.5;,"Workers 11.7;Financial Security 8.7;Health, Wellness, & Safety 0.0;Career Development 0.0;Engagement & Satisfaction 2.5;N/A Points 0.4;","Community 19.6;Diversity, Equity, & Inclusion 6.9;Economic Impact 7.1;Civic Engagement & Giving 2.0;Supply Chain Management 1.0;N/A Points 2.5;",Customers 45.8;Customer Stewardship 3.7;+ Impact Improvement 19.2;+ Serving in Need Populations 22.8;,,,,Service with Minor Environmental Footprint,Cloud software simplifying data collection for impact organizations,https://bcorporation.net/directory/jii-wa,http://www.jiiwa.com
87.2,"August, 2019","At Social Misfits Media, they believe purpose-led organisations deserve the best solutions. If you’re a company, public body, foundation, multilateral, or charity whose activities are having a positive social or environmental impact, it’s time to make social media work smarter for you.
Whether you’re looking to launch a campaign, promote a new piece of content, outsource your day-to-day social activity or just need some strategic advice about your digital presence, let their agency take the hard work out of social and leave you to focus on what matters: realising your organisation's ambitions.","London, London, United Kingdom",Social Misfits Media,Governance 7.1;Mission & Engagement 1.1;Ethics & Transparency 3.4;+ Mission Locked 2.5;,"Workers 28.7;Financial Security 4.0;Health, Wellness, & Safety 9.0;Career Development 5.5;Engagement & Satisfaction 5.6;N/A Points 4.4;","Community 22.4;Diversity, Equity, & Inclusion 6.8;Economic Impact 7.5;Civic Engagement & Giving 2.8;Supply Chain Management 2.2;N/A Points 2.9;",Environment 7.5;Environmental Management 1.8;Air & Climate 1.4;Water 0.5;Land & Life 2.5;N/A Points 1.1;,Customers 21.5;Customer Stewardship 3.8;+ Support for Underserved/Purpose Driven Enterprises 15.4;+ Serving in Need Populations 2.2;,,,Service with Minor Environmental Footprint,Social Media marketing for purpose-led organisations,https://bcorporation.net/directory/social-misfits-media,http://www.socialmisfitsmedia.com
122.3,"August, 2019","Imagine Deliver uses universal and human-centered design to encourage people to tap into their creativity and uncover inventive solutions that inspire companies to grow. They believe the best systems, services, and products are designed by the people who use them. With a diverse team of strategists, creatives and early adopters, they know how to engage the right people in the design process—especially those who have been underestimated or are on the margins. They do that by deeply listening, fearlessly experimenting, and embracing new paths others haven’t traveled down before.","Saint Paul, Minnesota, United States",Imagine Deliver,Governance 14.5;Mission & Engagement 1.9;Ethics & Transparency 2.6;+ Mission Locked 10.0;,"Workers 24.2;Financial Security 8.8;Health, Wellness, & Safety 2.9;Career Development 5.8;Engagement & Satisfaction 5.8;N/A Points 0.8;","Community 51.5;Diversity, Equity, & Inclusion 11.8;Economic Impact 15.0;Civic Engagement & Giving 7.8;Supply Chain Management 6.8;+ Local Economic Development 10.0;",Environment 5.6;Environmental Management 0.7;Air & Climate 0.6;Water 0.0;Land & Life 3.5;N/A Points 0.7;,Customers 26.3;Customer Stewardship 3.8;+ Support for Underserved/Purpose Driven Enterprises 13.6;+ Serving in Need Populations 8.8;,,,Service with Minor Environmental Footprint,"Talent and Human Capital Design, Service and Program Design",https://bcorporation.net/directory/imagine-deliver,http://imaginedeliver.com
